x,approximated,precise
-0.100000,64.106353,64.106353
-0.200000,8.956923,8.956923
-0.300000,1.665029,1.665029
-0.400000,0.157231,0.157231
-0.500000,0.037310,0.037310
-0.600000,0.425397,0.425397
-0.700000,1.129221,1.129221
-0.800000,2.180467,2.180467
-0.900000,3.766881,3.766881
-1.000000,6.316357,6.316357
-1.100000,10.805260,10.805260
-1.200000,19.771281,19.771281
-1.300000,41.458766,41.458766
-1.400000,115.610129,115.610129
-1.500000,743.715868,743.715868
-1.600000,4829.513022,4829.513022
-1.700000,273.273738,273.273738
-1.800000,96.620848,96.620848
-1.900000,52.463246,52.463246
-2.000000,34.877837,34.877837
0.100000,-0.831124,-0.831124
0.200000,-0.491067,-0.491067
0.300000,-0.292146,-0.292146
0.400000,-0.151009,-0.151009
0.500000,-0.041535,-0.041535
0.600000,0.047912,0.047912
0.700000,0.123538,0.123538
0.800000,0.189048,0.189048
0.900000,0.246832,0.246832
1.000000,0.298522,0.298522
1.100000,0.345281,0.345281
1.200000,0.387969,0.387969
1.300000,0.427238,0.427238
1.400000,0.463595,0.463595
1.500000,0.497443,0.497443
1.600000,0.529106,0.529106
1.700000,0.558848,0.558848
1.800000,0.586890,0.586890
1.900000,0.613415,0.613415
2.000000,0.638580,0.638580
