x,approximated,precise
-0.100000,1.005021,1.005021
-0.200000,1.020339,1.020339
-0.300000,1.046752,1.046752
-0.400000,1.085704,1.085704
-0.500000,1.139494,1.139494
-0.600000,1.211628,1.211628
-0.700000,1.307459,1.307459
-0.800000,1.435324,1.435324
-0.900000,1.608726,1.608726
-1.000000,1.850816,1.850816
-1.100000,2.204604,2.204604
-1.200000,2.759704,2.759704
-1.300000,3.738334,3.738334
-1.400000,5.883490,5.883490
-1.500000,14.136833,14.136833
-1.600000,-34.247136,-34.247136
-1.700000,-7.761294,-7.761294
-1.800000,-4.401368,-4.401368
-1.900000,-3.093202,-3.093202
-2.000000,-2.402998,-2.402998
0.100000,1.005021,1.005021
0.200000,1.020339,1.020339
0.300000,1.046752,1.046752
0.400000,1.085704,1.085704
0.500000,1.139494,1.139494
0.600000,1.211628,1.211628
0.700000,1.307459,1.307459
0.800000,1.435324,1.435324
0.900000,1.608726,1.608726
1.000000,1.850816,1.850816
1.100000,2.204604,2.204604
1.200000,2.759704,2.759704
1.300000,3.738334,3.738334
1.400000,5.883490,5.883490
1.500000,14.136833,14.136833
1.600000,-34.247136,-34.247136
1.700000,-7.761294,-7.761294
1.800000,-4.401368,-4.401368
1.900000,-3.093202,-3.093202
2.000000,-2.402998,-2.402998
